hours_study,sleep_hours,attendance,previous_score,extracurricular,class_participation,stress_level,final_score 
2,6,60,50,1,3,7,55
3,7,70,60,2,4,5,65
4,6,80,65,3,5,4,70
5,7,85,70,2,4,3,75
6,8,90,75,3,5,2,85
7,7,95,80,4,5,1,90
2,5,55,45,1,2,8,50
3,6,65,55,2,3,6,60
4,7,75,60,2,4,5,68
5,6,80,65,3,4,4,72
6,7,85,70,3,5,3,78
7,8,90,75,4,5,2,88
2,6,50,40,0,2,9,45
3,5,60,50,1,3,7,55
4,6,70,55,2,4,6,62
5,7,75,60,2,4,5,70
6,7,80,65,3,5,4,75
7,8,85,70,3,5,3,82
2,5,55,42,1,2,8,48
3,6,65,52,2,3,7,58
4,7,70,57,2,4,6,65
5,7,75,62,3,4,5,72
6,8,80,68,3,5,4,80
7,8,85,72,4,5,3,85
2,6,60,45,1,3,7,52
3,7,70,55,2,4,6,63
4,7,75,60,2,4,5,68
5,7,80,65,3,5,4,74
6,8,85,70,3,5,3,80
7,8,90,75,4,5,2,88
